
Level	Hero	Soldier	Pilgrim	Wizard	Sage	Fighter	Merch	Goof	Thief
78	4283128	4365235	4999846	5302108	6493466	5787899	3965988	4845327	4191954
79	4380867	4462946	5116697	5428868	6641848	5923110	4058722	4958686	4285798
80	4478606	4560657	5233548	5555628	6790230	6058321	4151456	5072045	4379642
81	4576345	4658368	5350399	5682388	6938612	6193532	4244190	5185404	4473486
82	4674084	4756079	5467250	5809148	7086994	6328743	4336924	5298763	4567330
83	4771823	4853790	5584101	5935908	7235376	6463954	4429658	5412122	4661174
84	4869562	4951501	5700952	6062668	7383758	6599165	4522392	5525481	4755018
85	4967301	5049212	5817803	6189428	7532140	6734376	4615126	5638840	4848862
86	5065040	5146923	5934654	6316188	7680522	6869587	4707860	5752199	4942706
87	5162779	5244634	6051505	6442948	7828904	7004798	4800594	5865558	5036550
88	5260518	5342345	6168356	6569708	7977286	7140009	4893328	5978917	5130394
89	5358257	5440056	6285207	6696468	8125668	7275220	4986062	6092276	5224238
90	5455996	5537767	6402058	6823228	8274050	7410431	5078796	6205635	5318082
91	5553735	5635478	6518909	6949988	8422432	7545642	5171530	6318994	5411926
92	5651474	5733189	6635760	7076748	8570814	7680853	5264264	6432353	5505770
93	5749213	5830900	6752611	7203508	8719196	7816064	5356998	6545712	5599614
94	5846952	5928611	6869462	7330268	8867578	7951275	5449732	6659071	5693458
95	5944691	6026322	6986313	7457028	9015960	8086486	5542466	6772430	5787302
96	6042430	6124033	7103164	7583788	9164342	8221697	5635200	6885789	5881146
97	6140169	6221744	7220015	7710548	9312724	8356908	5727934	6999148	5974990
98	6237908	6319455	7336866	7837308	9461106	8492119	5820668	7112507	6068834
99	6335647	6417166	7453717	7964068	9609488	8627330	5913402	7225866	6162678
